imgnum;ephy_name;organ;reject;species;img_dir;patho
711440b4c92e7d5e89ad5254b5d5e51d5c5f605c;553b2eb7-2661-45e4-b886-72435719c587-mauvaises_herbes_salade.jpg;habit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/adventice/711440b4c92e7d5e89ad5254b5d5e51d5c5f605c.jpeg;adventice
f73c6efb2e2a416bf7e58bd9ec18516e4b5ac05c;af46ee73-5480-4d3e-8184-9238f77cc5c3-mauvaises_herbes_salade_2.jpg;habit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/adventice/f73c6efb2e2a416bf7e58bd9ec18516e4b5ac05c.jpeg;adventice
3fd618c0722d076331e5c375485da141303c2aa3;cb982377-a05a-4e6d-b2bb-be40373a7617-mauvaises_herbes_salade_3.jpg;leaf;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/adventice/3fd618c0722d076331e5c375485da141303c2aa3.jpeg;adventice
4c69180c13f3e402dd39d1b873ddaaea4cf8477b;dc3bd923-30b0-4ba4-8393-d08181c3a8cf-mauvaises_herbes_salade_1.jpg;habit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/adventice/4c69180c13f3e402dd39d1b873ddaaea4cf8477b.jpeg;adventice
ccce89d7317f33506dde3b3fa245d07146d55bd7;016f920b-f3d2-44d9-b9d9-bd627301aa1a-vers_gris_salade_24.jpg;fruit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/ccce89d7317f33506dde3b3fa245d07146d55bd7.jpeg;agrotis_sp
86375143a06c5ceebd28d4fb7b4eacd7aaf41c0d;02811f5d-aef8-474d-b443-425101d77c2a-vers_gris_salade_34.jpg;fruit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/86375143a06c5ceebd28d4fb7b4eacd7aaf41c0d.jpeg;agrotis_sp
168815ec5e2d3a2503bbdaabfcefd125d965e11b;030c568c-3473-4605-aa09-660314b64a11-vers_gris_salade_10.jpg;fruit;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/168815ec5e2d3a2503bbdaabfcefd125d965e11b.jpeg;agrotis_sp
7e78078ae7807efcea14f7888f86bc33e5b9ffa5;03f7adef-eaac-4859-82d4-e1027d98c91f-vers_gris_salade_64.jpg;bark;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/7e78078ae7807efcea14f7888f86bc33e5b9ffa5.jpeg;agrotis_sp
8d36690ce400f69c76f227fceaec2ef5003d2850;045bc21d-4edc-4258-b303-4708fdcc4296-vers_gris_salade_60.jpg;bark;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/8d36690ce400f69c76f227fceaec2ef5003d2850.jpeg;agrotis_sp
cfbc07af2c845b2f90c5868cdc9735a49753a161;0f652228-28eb-4dd9-b441-5c6ea7854022-vers_gris_salade_15.jpg;leaf;False;Lactuca sativa L;../data/PN_data/m/Images/Lactuca sativa L/agrotis_sp/cfbc07af2c845b2f90c5868cdc9735a49753a161.jpeg;agrotis_sp
